avg_max_no_antag_streak,max_no_antag_streak,p95_no_antag_streak,avg_max_antag_streak,max_antag_streak,p95_antag_streak,antag_selection_std,antag_selection_cv,starting_tickets,tickets_on_miss,reset_mode,reset_value,config_name
52.25333333333333,71.66666666666667,62.68333333333334,1.42,2.0,2.0,6.765014518165015,0.04510009678776677,1,1,set,1,Start1_Inc1_ResetTo1
51.413333333333334,67.0,61.699999999999996,1.2266666666666666,2.0,2.0,6.609722544545055,0.04406481696363371,1,2,set,1,Start1_Inc2_ResetTo1
50.93333333333334,69.0,60.03333333333333,1.2066666666666668,2.0,2.0,6.2243907915992045,0.041495938610661365,1,3,set,1,Start1_Inc3_ResetTo1
51.26,71.33333333333333,61.333333333333336,1.1466666666666667,2.0,2.0,6.386544067696171,0.0425769604513078,1,4,set,1,Start1_Inc4_ResetTo1
50.48,68.33333333333333,61.35,1.1133333333333333,2.0,2.0,5.750056804486143,0.038333712029907624,1,5,set,1,Start1_Inc5_ResetTo1
62.31999999999999,88.0,76.73333333333333,2.04,3.0,3.0,8.466579611114549,0.05644386407409698,10,1,set,10,Start10_Inc1_ResetTo10
58.093333333333334,83.0,70.43333333333332,1.92,3.0,2.3333333333333335,7.57925872144218,0.05052839147628121,10,2,set,10,Start10_Inc2_ResetTo10
55.96333333333333,79.66666666666667,68.01666666666667,1.8633333333333333,2.6666666666666665,2.0,6.974105111191946,0.04649403407461298,10,3,set,10,Start10_Inc3_ResetTo10
54.166666666666664,76.66666666666667,65.73333333333333,1.7433333333333334,2.6666666666666665,2.0,7.081053358423187,0.04720702238948791,10,4,set,10,Start10_Inc4_ResetTo10
53.66,74.66666666666667,65.05,1.6366666666666667,2.3333333333333335,2.0,7.156637357262853,0.047710915715085685,10,5,set,10,Start10_Inc5_ResetTo10
108.86666666666667,204.33333333333334,154.36666666666667,2.34,4.0,3.0166666666666657,11.461547138023208,0.07641031425348806,1,1,subtract,1,Start1_Inc1_Sub1
109.46333333333332,200.0,155.24999999999997,2.31,4.0,3.0,11.161537974694944,0.07441025316463296,1,1,subtract,2,Start1_Inc1_Sub2
107.67666666666666,216.0,149.61666666666665,2.3333333333333335,4.0,3.0,10.08521610773814,0.06723477405158758,1,1,subtract,3,Start1_Inc1_Sub3
107.04333333333334,189.33333333333334,148.45000000000002,2.313333333333333,3.6666666666666665,3.0,9.750939724529633,0.06500626483019756,1,1,subtract,4,Start1_Inc1_Sub4
106.65333333333332,194.33333333333334,146.94999999999996,2.36,4.0,3.0,9.19011334141453,0.061267422276096876,1,1,subtract,5,Start1_Inc1_Sub5
107.83333333333333,170.0,151.71666666666667,2.313333333333333,3.6666666666666665,3.0,9.295349035507234,0.061968993570048224,1,1,subtract,6,Start1_Inc1_Sub6
106.68333333333334,202.33333333333334,155.20000000000002,2.3666666666666667,4.0,3.0166666666666657,8.206011733685262,0.05470674489123508,1,1,subtract,7,Start1_Inc1_Sub7
107.12333333333333,171.66666666666666,144.33333333333334,2.3033333333333332,4.0,3.0,7.074746526130649,0.04716497684087098,1,1,subtract,8,Start1_Inc1_Sub8
106.49666666666667,178.0,143.28333333333333,2.3366666666666664,4.0,3.0,7.86951059137743,0.052463403942516196,1,1,subtract,9,Start1_Inc1_Sub9
104.2,165.0,148.13333333333333,2.2933333333333334,3.3333333333333335,3.0,6.9595353866497405,0.046396902577664934,1,1,subtract,10,Start1_Inc1_Sub10
107.06333333333335,182.33333333333334,146.58333333333331,2.3066666666666666,4.0,3.0,11.529135465223034,0.07686090310148688,1,2,subtract,1,Start1_Inc2_Sub1
106.07333333333334,167.0,144.79999999999998,2.31,4.333333333333333,3.0,11.241792089594092,0.07494528059729395,1,2,subtract,2,Start1_Inc2_Sub2
109.09333333333332,213.66666666666666,152.6,2.34,4.0,3.0,11.068182867669208,0.07378788578446138,1,2,subtract,3,Start1_Inc2_Sub3
106.83333333333333,203.0,144.79999999999998,2.2333333333333334,3.6666666666666665,3.0,10.98935634688893,0.0732623756459262,1,2,subtract,4,Start1_Inc2_Sub4
109.95666666666666,191.33333333333334,156.16666666666666,2.3633333333333333,3.6666666666666665,3.0,10.668059466643648,0.07112039644429098,1,2,subtract,5,Start1_Inc2_Sub5
105.40666666666668,184.0,143.01666666666668,2.3000000000000003,3.6666666666666665,3.0,10.610411378392884,0.07073607585595255,1,2,subtract,6,Start1_Inc2_Sub6
108.33666666666666,217.66666666666666,152.96666666666667,2.283333333333333,4.333333333333333,3.0,9.458844196161916,0.06305896130774612,1,2,subtract,7,Start1_Inc2_Sub7
108.51666666666667,199.0,147.08333333333334,2.283333333333333,3.3333333333333335,3.0,9.911177289459431,0.06607451526306288,1,2,subtract,8,Start1_Inc2_Sub8
108.90333333333335,204.33333333333334,155.26666666666665,2.3233333333333337,4.0,3.0,9.185073495806986,0.0612338233053799,1,2,subtract,9,Start1_Inc2_Sub9
107.29333333333334,193.66666666666666,150.70000000000002,2.27,3.6666666666666665,3.0,9.332404990842813,0.06221603327228542,1,2,subtract,10,Start1_Inc2_Sub10
109.47333333333334,174.0,148.79999999999998,2.3633333333333333,4.0,3.0,11.519016493382153,0.07679344328921436,1,3,subtract,1,Start1_Inc3_Sub1
110.76,197.33333333333334,159.48333333333332,2.2866666666666666,4.333333333333333,3.0,11.874350007486749,0.079162333383245,1,3,subtract,2,Start1_Inc3_Sub2
106.11,161.33333333333334,144.45,2.3033333333333332,3.6666666666666665,3.0,11.855758668788695,0.07903839112525797,1,3,subtract,3,Start1_Inc3_Sub3
108.86333333333333,185.33333333333334,145.9333333333333,2.263333333333333,3.6666666666666665,3.0,10.312450801627934,0.0687496720108529,1,3,subtract,4,Start1_Inc3_Sub4
107.84666666666665,184.66666666666666,149.96666666666664,2.31,4.0,3.0,10.99587933216975,0.07330586221446501,1,3,subtract,5,Start1_Inc3_Sub5
106.58666666666666,191.66666666666666,149.5,2.3499999999999996,4.666666666666667,3.0,11.244103824008988,0.07496069216005992,1,3,subtract,6,Start1_Inc3_Sub6
108.15666666666668,198.66666666666666,152.2833333333333,2.32,3.6666666666666665,3.0,10.718607944211982,0.07145738629474656,1,3,subtract,7,Start1_Inc3_Sub7
106.92,211.0,149.7,2.283333333333333,4.0,3.0,10.392163012937319,0.06928108675291546,1,3,subtract,8,Start1_Inc3_Sub8
105.45666666666666,186.33333333333334,147.15,2.2899999999999996,4.0,3.0,10.384284722192342,0.06922856481461563,1,3,subtract,9,Start1_Inc3_Sub9
107.97333333333334,196.0,153.29999999999998,2.256666666666667,3.3333333333333335,3.0,9.217811092352298,0.06145207394901533,1,3,subtract,10,Start1_Inc3_Sub10
110.06,221.33333333333334,164.13333333333333,2.27,3.6666666666666665,3.0,11.80373233610104,0.07869154890734026,1,4,subtract,1,Start1_Inc4_Sub1
108.08,185.0,149.25,2.3,3.6666666666666665,3.0,12.092760176557112,0.0806184011770474,1,4,subtract,2,Start1_Inc4_Sub2
108.71999999999998,193.66666666666666,149.5,2.3166666666666664,4.0,3.0333333333333314,11.173167375600856,0.07448778250400571,1,4,subtract,3,Start1_Inc4_Sub3
105.51333333333332,175.66666666666666,143.0666666666667,2.3033333333333332,4.0,3.0,11.154564716690928,0.07436376477793953,1,4,subtract,4,Start1_Inc4_Sub4
106.14999999999999,182.0,147.36666666666665,2.313333333333333,4.0,3.0,11.299699172600151,0.07533132781733436,1,4,subtract,5,Start1_Inc4_Sub5
106.49000000000001,189.66666666666666,149.41666666666666,2.3966666666666665,4.333333333333333,3.0166666666666657,10.677978367993065,0.0711865224532871,1,4,subtract,6,Start1_Inc4_Sub6
106.56666666666668,193.66666666666666,149.48333333333335,2.293333333333333,3.6666666666666665,3.0,10.735901814013554,0.07157267876009037,1,4,subtract,7,Start1_Inc4_Sub7
107.45,181.66666666666666,149.5333333333333,2.3033333333333332,3.6666666666666665,3.0,11.236294925833684,0.07490863283889124,1,4,subtract,8,Start1_Inc4_Sub8
108.83333333333333,204.66666666666666,154.05,2.38,4.0,3.0,10.545956747554591,0.07030637831703061,1,4,subtract,9,Start1_Inc4_Sub9
110.76666666666667,199.33333333333334,153.35,2.3,4.0,3.0,11.00790096374473,0.07338600642496486,1,4,subtract,10,Start1_Inc4_Sub10
107.17999999999999,185.66666666666666,149.95,2.296666666666667,4.0,3.0,11.199390361324832,0.07466260240883221,1,5,subtract,1,Start1_Inc5_Sub1
110.02666666666669,195.66666666666666,165.05,2.3699999999999997,4.333333333333333,3.0,11.173034832111824,0.07448689888074551,1,5,subtract,2,Start1_Inc5_Sub2
105.06666666666666,179.0,142.5,2.3633333333333337,3.6666666666666665,3.3333333333333335,11.009802437060776,0.07339868291373851,1,5,subtract,3,Start1_Inc5_Sub3
110.38666666666667,192.0,157.41666666666666,2.3200000000000003,3.3333333333333335,3.0,11.416951292523754,0.076113008616825,1,5,subtract,4,Start1_Inc5_Sub4
106.49666666666667,184.33333333333334,150.03333333333333,2.3499999999999996,4.333333333333333,3.0166666666666657,11.347610618464516,0.07565073745643013,1,5,subtract,5,Start1_Inc5_Sub5
106.96666666666665,193.0,147.36666666666665,2.31,4.0,3.0,10.785987548370501,0.07190658365580335,1,5,subtract,6,Start1_Inc5_Sub6
107.91000000000001,185.33333333333334,148.76666666666665,2.3400000000000003,4.333333333333333,3.0,11.149583596691803,0.07433055731127869,1,5,subtract,7,Start1_Inc5_Sub7
107.37,211.66666666666666,150.25,2.3466666666666667,4.0,3.0,11.631189441943356,0.07754126294628905,1,5,subtract,8,Start1_Inc5_Sub8
106.7,195.0,150.65,2.3366666666666664,4.333333333333333,3.0,11.054546074244042,0.07369697382829361,1,5,subtract,9,Start1_Inc5_Sub9
109.18666666666667,227.0,154.08333333333334,2.256666666666667,3.3333333333333335,3.0,11.199770897022242,0.07466513931348162,1,5,subtract,10,Start1_Inc5_Sub10
107.85666666666667,212.33333333333334,153.81666666666663,2.3433333333333333,4.0,3.0,11.857303451862839,0.07904868967908558,10,1,subtract,1,Start10_Inc1_Sub1
110.45333333333333,182.0,149.41666666666666,2.3033333333333332,4.333333333333333,3.0,11.553558349146932,0.0770237223276462,10,1,subtract,2,Start10_Inc1_Sub2
109.83333333333333,220.33333333333334,155.45,2.2866666666666666,3.6666666666666665,3.0,10.61242545652781,0.07074950304351872,10,1,subtract,3,Start10_Inc1_Sub3
108.85000000000001,201.66666666666666,152.41666666666666,2.3066666666666666,4.0,3.0,9.905107394364634,0.06603404929576423,10,1,subtract,4,Start10_Inc1_Sub4
107.18666666666667,204.66666666666666,155.78333333333333,2.2999999999999994,4.0,3.0,9.443648977543242,0.06295765985028828,10,1,subtract,5,Start10_Inc1_Sub5
106.48333333333333,210.33333333333334,150.08333333333334,2.2900000000000005,4.0,3.0,8.895545273665876,0.05930363515777251,10,1,subtract,6,Start10_Inc1_Sub6
106.79666666666667,208.33333333333334,143.54999999999998,2.3333333333333335,4.666666666666667,3.0,8.929663636720283,0.059531090911468555,10,1,subtract,7,Start10_Inc1_Sub7
105.96666666666665,180.0,146.6,2.2899999999999996,4.0,3.0,8.678226983398304,0.057854846555988694,10,1,subtract,8,Start10_Inc1_Sub8
106.88333333333333,194.0,147.5,2.3533333333333335,3.6666666666666665,3.0,7.277846292903251,0.04851897528602168,10,1,subtract,9,Start10_Inc1_Sub9
